model,tolerance,point_id,time,rewards,result
SMPL,1.0E-4,7,3.1811653E7,0.00998701290141263;0.107166038631845,1.482249188944917
SMPL,1.0E-4,8,3.0582855E7,9.96676721870204E-4;0.058106008902764,1.5941591078055162
SMPL,1.0E-4,9,3.2141039E7,0.0938098048418869;4.79903610582758,14.15148123286293
SMPL,1.0E-4,10,3.1918034E7,5.56183445534375E-4;0.0566374050101594,1.597834855324356
SMPL,1.0E-4,11,3.2725286E7,0.0112280632295487;1.09599832155577,0.512745861173283
SMPL,1.0E-4,12,3.204319E7,0.00119468680471141;0.0834394054543598,1.5421844879601263
SMPL,1.0E-4,13,3.4153196E7,0.00187287900052835;0.171016527279728,1.3724072684939286
SMPL,1.0E-4,14,3.1730871E7,0.00147964493175651;0.134368718299142,1.4417450828067846
SMPL,1.0E-4,15,3.1924861E7,6.98455282191812E-4;0.0639549011420947,1.5825450805985617
SMPL,1.0E-4,16,3.1342888E7,6.59585417807695E-4;0.0776061654985879,1.5547494765617582
SMPL,1.0E-4,17,3.1632453E7,0.00112123334394282;0.0607072297396036,1.5886118668920783
SMPL,1.0E-4,18,3.0776845E7,5.09688640963069E-4;0.058646388158555,1.5937508018111137
SMPL,1.0E-4,19,3.1922017E7,0.00114958800013892;0.0450682782626899,1.621037818783961
SMPL,1.0E-4,20,3.020113E7,8.96680785313353E-4;0.0643248786857269,1.5814973056969481
SMPL,1.0E-4,21,3.2047172E7,5.59995312817141E-4;0.0519760517812946,1.6074932545839529
SMPL,1.0E-4,22,3.1062996E7,0.00137914758512897;0.0913438317612194,1.5260521963270248
SMPL,1.0E-4,23,3.625922E7,0.00238624411796634;0.0640884506186313,1.5798210407869848
SMPL,1.0E-4,24,3.3329446E7,0.00115599347435574;0.121507058014083,1.4669858124829869
SMPL,1.0E-4,25,3.3482476E7,0.00309176390655153;0.0593303046271527,1.5885928600088768
SMPL,1.0E-4,26,3.0874125E7,5.39398529072421E-4;0.0802906730943138,1.5494909175332743
SMPL,1.0E-4,27,3.1763866E7,0.00107653360723908;0.046186463052093,1.6188062808506722
SMPL,1.0E-4,28,3.045201E7,0.00157722713406305;0.0975998803396799,1.51329714672353
SMPL,1.0E-4,29,3.1354267E7,8.56022747481422E-4;0.100672125297528,1.5082504766769116
SMPL,1.0E-4,30,3.0402516E7,0.00130640424263317;0.049937489888412,1.610648976305388
SMPL,1.0E-4,31,3.0970836E7,8.11936423620097E-4;0.0680843614474882,1.5739157078393087
SMPL,1.0E-4,32,3.0467939E7,4.7970214133064E-4;0.0659217653692665,1.5788271188969265
SMPL,1.0E-4,33,3.0735316E7,0.00114430988881198;0.0467252964934058,1.617582275052805
SMPL,1.0E-4,34,3.0401948E7,0.0036076173835714;0.507101734571901,0.8645222205843011
SMPL,1.0E-4,35,3.1301929E7,0.002270324214111;0.0618063791837882,1.5846808757211375
SMPL,1.0E-4,36,3.1019191E7,5.95271337681114E-4;0.049232781368628,1.6131496588220668
SMPL,1.0E-4,37,3.0326854E7,6.82592887601141E-4;0.0541051983161397,1.602895535081689
SMPL,1.0E-4,38,3.0465663E7,0.00577164681070252;0.0624138850625177,1.5783661975572514
SMPL,1.0E-4,39,3.1497058E7,9.33343145747778E-4;0.0535517752536725,1.603679101277773
