model,tolerance,point_id,time,rewards,result
FIL3,0.01,30,32301189,0.980157671344727;2.97206243467013;0.991920113323338;0.999984650002063,1.05804487128055
FIL3,0.01,31,30120084,0.782844785247664;2.62978894169204;0.872555040919434;0.974389115524943,0.382589728328534
FIL3,0.01,32,33555665,0.990188382948864;2.98386555734041;0.99388179549866;0.999795378892884,1.08862504822891
FIL3,0.01,33,30153476,0.957454892832823;2.94717943285397;0.990105557911353;0.999618982109796,0.99557365940063
FIL3,0.01,34,33575228,0.987130175652762;2.98030562208756;0.99337358399488;0.999801862439915,1.0793816468583
FIL3,0.01,35,30575272,0.989350291939643;2.98360879397414;0.994554508447598;0.999703993586894,1.0879370221264
FIL3,0.01,36,43338917,0.987951983609073;2.97525267454825;0.987751925430384;0.999548765508798,1.06722631455363
FIL3,0.01,37,34908645,0.984781546870409;2.94801484049385;0.961698553411398;1.00153474021204,1.00001203862192
FIL3,0.01,38,38209349,0.990764837781424;2.98499427430247;0.994445530870739;0.999783905650313,1.09151681121159
FIL3,0.01,39,36048926,0.900684262837301;2.8120568857359;0.923867097391501;0.987505525507097,0.700982737278001
FIL3,0.01,40,42022904,0.792269381511888;2.72438100272766;0.942955157032239;0.989156464183536,0.533764467703597
FIL3,0.01,41,36614913,0.988881042277666;2.97881095545799;0.990077877080299;0.99985203610002,1.07589873393789
FIL3,0.01,42,44783101,0.986646356489558;2.97953379253439;0.993172526628856;0.999714909415973,1.07746948861001
FIL3,0.01,43,37904459,0.981170691275978;2.97055719746843;0.990329164261476;0.999057341930973,1.0551309724139
FIL3,0.01,44,56457837,0.985926006276027;2.97861048688781;0.99297049609747;0.999713984514309,1.07509308910156
FIL3,0.01,45,38312639,0.990686325616608;2.9852243361362;0.99472839763858;0.999809612881008,1.09205972863246
FIL3,0.01,46,35996470,0.989631567576952;2.97893233363862;0.989518734442212;0.999782031619454,1.076355548017
FIL3,0.01,47,45386226,0.949252698163419;2.93478797699153;0.988832819787414;0.996702459040694,0.967421272479891
FIL3,0.01,48,42707422,0.977498201743354;2.9607134091655;0.983991941820263;0.999223265601884,1.03059332719085
FIL3,0.01,49,42955766,0.972786432385177;2.94400225438091;0.96805705845036;1.00315876354537,0.987458031539972
FIL3,0.0001,0,36499208,0.964942026295739;2.84408008170197;0.880128157071669;0.999009898334566,0.771814971800873
FIL3,0.0001,1,39575957,0.988228621493537;2.9711622888049;0.983151165551482;0.999782501759879,1.05711023742153
FIL3,0.0001,2,37205150,0.974205458977058;2.85111339542691;0.886340194827913;0.990567741621941,0.792924123408618
FIL3,0.0001,3,39268196,0.987864977068873;2.98163558526775;0.993946729540763;0.999823878658111,1.08275747978363
FIL3,0.0001,4,36471642,0.975940683663921;2.94780319453258;0.972221261108978;0.999641249759677,0.999213954924126
FIL3,0.0001,5,39323696,0.98381233876342;2.97278232840105;0.989451549662863;0.999518439974767,1.06060739989505
FIL3,0.0001,6,36842254,0.959052960537298;2.95088510306828;0.992359836029294;0.999472306501688,1.00472512817863
FIL3,0.0001,7,38920046,0.843416918385081;2.80890608314466;0.967684150462911;0.997805014296668,0.68820757674728
FIL3,0.0001,8,34319682,0.989356933482242;2.98144537215933;0.992269939627262;0.999818499049828,1.08249504591346
FIL3,0.0001,9,42609806,0.98723203533869;2.98018447629178;0.993629780122886;0.999322660830206,1.07943332669366
FIL3,0.0001,10,37110240,0.985536449141175;2.9794309552594;0.994103474434277;0.999791031683949,1.07701597203094
FIL3,0.0001,11,34333152,0.960250824877064;2.9528160836624;0.99283130627911;0.99973395250623,1.00930190475133
FIL3,0.0001,12,39166205,0.876486821880406;2.83538651400865;0.965070793772984;0.993828898355265,0.744329978394783
FIL3,0.0001,13,39848627,0.85299737603186;2.82059250640462;0.969141976935055;0.998453153437709,0.711339165719431
FIL3,0.0001,14,40802986,0.967633882453877;2.88126055092298;0.951363640880149;0.962263027588955,0.871528896048227
FIL3,0.0001,15,35123647,0.979757094554925;2.96851939204636;0.989479602811366;0.999282694680071,1.049809879855
FIL3,0.0001,16,39779826,0.978523612239391;2.97238590237953;0.994087898710071;0.999774391430066,1.05879326825011
FIL3,0.0001,17,36435030,0.98747739353853;2.95860427135084;0.971333973691407;0.999792904120901,1.02670051587261
FIL3,0.0001,18,37010770,0.935407756543653;2.92281607660692;0.987869378989982;0.999538941073285,0.936426607418531
FIL3,0.0001,19,36634189,0.985742371089475;2.97979405537499;0.994281755514433;0.999769928771085,1.07795588507781
FIL3,0.0001,20,40985516,0.988897149805668;2.98265388596858;0.994228467581636;0.999528268581272,1.08562985232956
FIL3,0.0001,21,37669744,0.980503315495932;2.974096952646;0.99382674681138;0.999766890338689,1.06324194849525
FIL3,0.0001,22,40990532,0.984147002042131;2.97537025036413;0.991404447361877;0.999818800960124,1.06679740932111
FIL3,0.0001,23,35662773,0.98292357923515;2.97519865389219;0.992794296003299;0.999480778653737,1.06645436146324
FIL3,0.0001,24,40247716,0.973525210559142;2.96679824978073;0.993506898852412;0.99976614036918,1.04453657736658
FIL3,0.0001,25,36293343,0.761322645872085;2.67964369094293;0.922435320658293;0.995885724412554,0.4545141174364
FIL3,0.0001,26,41872874,0.974655155009441;2.9672455909813;0.992955935158486;0.999634500813371,1.04584598690985
FIL3,0.0001,27,38074596,0.968242014184887;2.82944759981136;0.861912928009277;0.999292657617199,0.744377601283433
FIL3,0.0001,28,39730947,0.987321069166843;2.9756680379053;0.988693008510787;0.999653960227668,1.06808109114155
FIL3,0.0001,29,41069001,0.96844647565893;2.95524570819793;0.98718156590837;0.999617666630631,1.01602796196122
FIL3,0.0001,30,38104785,0.977611164005211;2.97113014085375;0.993871477196565;0.999647499651976,1.05569151554652
FIL3,0.0001,31,41437379,0.776348964209395;2.69991534319071;0.928634403899911;0.994931975081403,0.488177051750083
FIL3,0.0001,32,36980873,0.990188609971643;2.98384920339402;0.993857758739736;0.999802834682643,1.08857922862406
FIL3,0.0001,33,62843857,0.957454892832823;2.94717943285397;0.990105557911353;0.999618982109796,0.99557365940063
FIL3,0.0001,34,48719612,0.987046998149327;2.9803185604829;0.993460300780392;0.999811261553176,1.0793959285873
FIL3,0.0001,35,45720123,0.989559139780205;2.98354107843722;0.994600643667289;0.999381294989725,1.08802547616914
FIL3,0.0001,36,41681975,0.98799585268133;2.97524731003215;0.987657822030345;0.999593635320477,1.06718848617289
FIL3,0.0001,37,45236549,0.983180438491627;2.93880477690438;0.955895888181592;0.999728450231159,0.97937153902616
FIL3,0.0001,38,40801575,0.990418973666534;2.98515763061463;0.994908574939021;0.999830082009079,1.09184256266906
FIL3,0.0001,39,43504509,0.88591886715736;2.85232973652267;0.969208720858429;0.997202148506884,0.778266748984662
FIL3,0.0001,40,40605908,0.792426289939392;2.73360305454123;0.944652974820737;0.996523789781101,0.546446027234719
FIL3,0.0001,41,39549867,0.988397565407568;2.97883535912834;0.990625189814987;0.999812603905789,1.07591737475725
FIL3,0.0001,42,39748933,0.986085874646849;2.97972719359945;0.993839051725097;0.999802267227502,1.07781226103578
FIL3,0.0001,43,44232047,0.979064910447694;2.97318711769877;0.994323944828711;0.999798262422361,1.06081043631877
FIL3,0.0001,44,43122237,0.985684447846317;2.97835148807671;0.993000402967852;0.999666637262546,1.0744549156433
FIL3,0.0001,45,38154146,0.990479349086029;2.98528452683634;0.994985398772193;0.999819778978115,1.09217373291795
FIL3,0.0001,46,41088270,0.989486058784443;2.97890353812142;0.989673369405699;0.999744109931277,1.07628975762772
FIL3,0.0001,47,39316891,0.950166472218426;2.93919070306669;0.990982088200588;0.99804214264767,0.977021505002558
FIL3,0.0001,48,45408103,0.977436091665556;2.96125866468202;0.98435904690551;0.999463526110958,1.03173798547336
FIL3,0.0001,49,36071406,0.93144675743993;2.91821621793044;0.987278525184079;0.999490935306435,0.925532635933944
FIL3,1E-06,0,37340243,0.964942026295739;2.84408008170197;0.880128157071669;0.999009898334566,0.771814971800873
FIL3,1E-06,1,39277770,0.988223423315606;2.97116211863854;0.983153560215294;0.999785135107636,1.05710720942676
FIL3,1E-06,2,38732088,0.974629443723346;2.85148689751645;0.886278417578773;0.990579036214336,0.793802818130276
FIL3,1E-06,3,35632452,0.987864580384824;2.98163578019971;0.993946089685268;0.999825110129614,1.08275704104594
FIL3,1E-06,4,39840407,0.975938555578136;2.94780034103568;0.972223041128372;0.999638744329171,0.999208533544577
FIL3,1E-06,5,34411719,0.983812914914962;2.9727865477492;0.989454654419453;0.99951897841478,1.06061744480347
FIL3,1E-06,6,38156850,0.958886392329072;2.95138582354548;0.992758921883334;0.999740509333075,1.00573221148544
FIL3,1E-06,7,34176050,0.843039567390574;2.80744517072934;0.966239608043619;0.998165995295145,0.684975030378511
FIL3,1E-06,8,39821532,0.989356836382772;2.98144544977304;0.99227016587825;0.999818447512017,1.08249526048584
FIL3,1E-06,9,35656668,0.987231522648605;2.98017929729487;0.993628651946951;0.999319122699309,1.07942294051596
FIL3,1E-06,10,37469073,0.98553630083843;2.97943102697643;0.994103495193561;0.999791230944439,1.07701598968096
FIL3,1E-06,11,38269093,0.960243370268845;2.95283811190312;0.992846641738859;0.99974809989542,1.00934461649471
FIL3,1E-06,12,33361235,0.87471120493506;2.84994189973394;0.976270326270464;0.998960368528417,0.772335649526182
FIL3,1E-06,13,35654287,0.852994043962396;2.82056495129395;0.969123418330172;0.998447489001377,0.711285147269842
FIL3,1E-06,14,33346077,0.96902922320457;2.88217451902391;0.95088845482121;0.962256840998129,0.873789035472145
FIL3,1E-06,15,35996054,0.979757238490989;2.96851854954692;0.989478438949796;0.999282872106132,1.04980771637547
FIL3,1E-06,16,37079667,0.978520584024058;2.97238850108329;0.994089513801271;0.999778403257958,1.05879648052824
FIL3,1E-06,17,37124761,0.987477377481694;2.9586042846681;0.971333950352627;0.999792956833781,1.02670050999056
FIL3,1E-06,18,36773978,0.935407756242647;2.92281606295395;0.987869367372519;0.999538939338785,0.936426576551053
FIL3,1E-06,19,37622620,0.985742371089475;2.97979405537499;0.994281755514433;0.999769928771085,1.07795588507781
FIL3,1E-06,20,36874919,0.988897460166077;2.98265208236837;0.99423006005631;0.999524562145978,1.08562803911713
FIL3,1E-06,21,39075050,0.980503419420559;2.97409690696239;0.99382658291036;0.999766904631468,1.06324183834527
FIL3,1E-06,22,35846166,0.984147227058877;2.97537024136227;0.991403398303454;0.999819615999942,1.06679684609062
FIL3,1E-06,23,35817170,0.982925586984428;2.97520527961206;0.99279659891507;0.999483093712558,1.06646930353659
FIL3,1E-06,24,33412838,0.973516108048835;2.96680883899918;0.993513780654504;0.999778950295843,1.04455250047189
FIL3,1E-06,25,41065040,0.761322638077275;2.67964422106665;0.922435790987576;0.995885792001798,0.454514997847301
FIL3,1E-06,26,37185747,0.974654622374131;2.96724490364425;0.992954932570434;0.999635348699682,1.04584364985865
FIL3,1E-06,27,36842901,0.966571778224421;2.82741605847449;0.861908917341298;0.998935362908773,0.740064156835457
FIL3,1E-06,28,37748120,0.987345938531592;2.97574692614894;0.988730812093223;0.999670175524129,1.06826710105541
FIL3,1E-06,29,35266380,0.968453098075547;2.95532533569697;0.987225167448527;0.999647070172899,1.01620036542679
FIL3,1E-06,30,38357077,0.976846093920249;2.97095871426227;0.99448860991836;0.999624010423659,1.05520094082519
FIL3,1E-06,31,34244211,0.776349159576261;2.69990625626924;0.928624928629755;0.994932168063228,0.488160698831211
FIL3,1E-06,32,35348583,0.990192161345716;2.98384705733205;0.993854208012082;0.999800687974255,1.08857590893351
FIL3,1E-06,33,33638363,0.957429343584488;2.94708492601721;0.990017522938665;0.999638059494052,0.995331354929704
FIL3,1E-06,34,36462868,0.987049246724619;2.98031866897702;0.993458040985619;0.999811381266783,1.07939641268881
FIL3,1E-06,35,36521249,0.989533984393102;2.98355313750062;0.994597058272678;0.999422094834844,1.08802313017772
FIL3,1E-06,36,38264830,0.988008855655966;2.97524434523031;0.98763301742678;0.999602472147563,1.06717700036225
FIL3,1E-06,37,31831489,0.983163340887233;2.9387735676137;0.955881560717061;0.999728666009409,0.979295687199989
FIL3,1E-06,38,41263565,0.990412544935831;2.98516072036442;0.994916800549931;0.999831374878655,1.09184844981362
FIL3,1E-06,39,32530569,0.884219787611832;2.85322507840985;0.969891010299092;0.999114280498926,0.778987760875478
FIL3,1E-06,40,37719400,0.792429406637205;2.73368031228586;0.944683629431695;0.996567276216964,0.5465643652136
FIL3,1E-06,41,37860222,0.988398466732084;2.9788360342011;0.990624878675277;0.999812688793741,1.07591910771628
FIL3,1E-06,42,37877393,0.98608529567847;2.97972732276062;0.993838711311475;0.999803315770677,1.0778117655043
FIL3,1E-06,43,76162789,0.979063908873192;2.97318819690605;0.994324773899944;0.999799514132915,1.06081209329227
FIL3,1E-06,44,45434010,0.985682601864515;2.97834725823994;0.993002589250196;0.999662067125231,1.07444744370328
FIL3,1E-06,45,47032251,0.990479418041525;2.98528450746538;0.994985368003805;0.999819721420051,1.09217373491607
FIL3,1E-06,46,46792662,0.989486083154805;2.97890359086967;0.989673450020026;0.999744057694838,1.07628992755198
FIL3,1E-06,47,48573396,0.950604157008137;2.94141409330113;0.9921380167042;0.998671919588796,0.981921308928066
FIL3,1E-06,48,45414318,0.977311603372464;2.96220210033555;0.985240018761908;0.99965047820118,1.03387599055208
FIL3,1E-06,49,50521304,0.931414930261398;2.91819210098626;0.987229429401453;0.999547741323407,0.925435818385064
FIL3,1E-08,0,45659989,0.964945938789644;2.84409391312079;0.880127936454092;0.999020037877057,0.77183866681044
FIL3,1E-08,1,46318570,0.988223923256986;2.97116218975576;0.983153274082185;0.999784992416587,1.0571075583712
