model,tolerance,point_id,time,rewards,result
FIL3,0.01,19,187127513,0.5903367584;0.7022861339;0.9725773531;2.265200245,0.04692716242085
FIL3,0.01,20,180457659,0.08721714281;0.1369282457;0.7074243063;0.9315696949,1.92961534711997
FIL3,0.01,21,174149986,0.4968458353;0.4148706704;0.9391350596;1.850851565,0.104585259416635
FIL3,0.01,22,168895021,0.4433444368;0.3379042928;0.9250333304;1.70628206,0.245931792310639
FIL3,0.01,23,169225952,0.4282099524;0.4598914857;0.9524632901;1.840564728,0.121043394700283
FIL3,0.01,24,170277114,0.2898252945;0.372711412;0.9203550608;1.582891767,0.427420350418741
FIL3,0.01,25,188299588,0.7331167875;0.7974368803;0.9864336263;2.516987294,0.235702445983101
FIL3,0.01,26,181702185,0.4787230077;0.4826858041;0.6462688272;1.607677639,0.393320368730247
FIL3,0.01,27,183354913,0.3924604886;0.2929561405;0.9128078786;1.598224508,0.38912507120905
FIL3,0.01,28,184509410,0.3980387304;0.556690419;0.9509601771;1.905689326,0.094417959389031
FIL3,0.01,29,190875359,0.4370293687;0.3420554894;0.9242187231;1.703303581,0.249026258430663
FIL3,0.01,30,184074703,0.7439640377;0.7753384661;0.9865905333;2.505893037,0.218931392542613
FIL3,0.01,31,169578888,0.7189032764;0.750284659;0.9819941867;2.451182122,0.162874535130923
FIL3,0.01,32,168302677,0.4431843189;0.3618910546;0.937606354;1.742681728,0.206801871050439
FIL3,0.01,33,167440602,0.7843000677;0.815817292;0.9603053753;2.560422735,0.296384662172234
FIL3,0.01,34,169408331,0.5254215484;0.6653353742;0.9725073627;2.163264285,0.024978509475296
FIL3,0.01,35,168074610,0.6744695327;0.7096292607;0.9356555482;2.319754342,0.072338397577969
FIL3,0.01,36,169581355,0.6156675868;0.6570149855;0.9665544988;2.239237071,0.027113190240279
FIL3,0.01,37,166789478,0.765133316;0.7394524324;0.9833280641;2.487913813,0.195803705086953
FIL3,0.01,38,167349543,0.5393267154;0.5100344819;0.9552456562;2.004606854,0.020753674894315
FIL3,0.01,39,169308193,0.504004916;0.6648253288;0.9385915329;2.107421778,0.028838370700469
FIL3,0.01,40,170303083,0.3502273077;0.5211408059;0.9352741365;1.80664225,0.171205268046673
FIL3,0.01,41,167679887,0.598759714;0.5859839072;0.9690072821;2.153750903,0.003240633168968
FIL3,0.01,42,171546701,0.4669410806;0.4663710211;0.9440948617;1.877406963,0.08812265377319
FIL3,0.01,43,170617053,0.2976392027;0.2534574943;0.8856329812;1.436729678,0.660722377913397
FIL3,0.01,44,166145105,0.774679942;0.7791134383;0.9824713419;2.536264722,0.253746626448417
FIL3,0.01,45,169407586,0.1848774448;0.1314871984;0.7776089674;1.093973611,1.44790431323172
FIL3,0.01,46,174440117,0.4086266483;0.3479494789;0.7136980106;1.470274138,0.57197853905711
FIL3,0.01,47,167105470,0.6055099568;0.6732424875;0.9707411249;2.249493569,0.033679172496125
FIL3,0.01,48,168595936,0.3507768592;0.3230705246;0.9232085586;1.597055942,0.395398975696479
FIL3,0.01,49,167553863,0.4106729862;0.4820355447;0.891062098;1.783770629,0.166271944670417
FIL3,0.0001,0,168620387,0.7557410074;0.8167346039;0.9876201251;2.560095736,0.287770127481954
FIL3,0.0001,1,168180373,0.7250850658;0.7978283842;0.9827894117;2.505702862,0.225193988868959
FIL3,0.0001,2,169253037,0.5411793209;0.4695556396;0.9526532369;1.963388197,0.036142471644574
FIL3,0.0001,3,170450678,0.6859834257;0.6970900887;0.939584377;2.322657891,0.070667564695499
FIL3,0.0001,4,168578161,0.3497465516;0.3177001152;0.8800767007;1.547523368,0.458947060564124
FIL3,0.0001,5,169949013,0.07082300145;0.1080522373;0.6563948889;0.8352701276,2.23965376060671
FIL3,0.0001,6,168300167,0.7318259462;0.70255774;0.9818959486;2.416279635,0.126325305992106
FIL3,0.0001,7,172700806,0.616478207;0.7498045007;0.9801687116;2.346451419,0.093796272918972
FIL3,0.0001,8,167512912,0.1786446475;0.2608376116;0.7529691881;1.192451447,1.18142101506117
FIL3,0.0001,9,164883805,0.1930053758;0.1428746035;0.7864582483;1.122338228,1.37087765174107
FIL3,0.0001,10,168840250,0.4924083045;0.483935643;0.6118895951;1.588233543,0.433680749971013
FIL3,0.0001,11,170711038,0.671757966;0.7151533246;0.9773989621;2.364310253,0.092126387388781
FIL3,0.0001,12,175893845,0.1398533237;0.1377888547;0.7403422724;1.017984451,1.66148030525166
FIL3,0.0001,13,169665967,0.7652660622;0.768543577;0.980777707;2.514587346,0.228392305239132
FIL3,0.0001,14,167448302,0.5730549717;0.536030958;0.9641285083;2.073214438,0.004208243381841
FIL3,0.0001,15,167641275,0.5578990718;0.5286210109;0.950555374;2.037075457,0.011096977123832
FIL3,0.0001,16,170279428,0.5770029042;0.7224528894;0.9781359977;2.277591791,0.058370513515955
FIL3,0.0001,17,166736316,0.5276645518;0.6716580049;0.9567509681;2.156073525,0.025916503581507
FIL3,0.0001,18,167263058,0.6998580204;0.6948477888;0.9793391528;2.374044962,0.094319591541656
FIL3,0.0001,19,170485870,0.5903367584;0.7022861339;0.9725773531;2.265200245,0.04692716242085
FIL3,0.0001,20,166484843,0.08721714281;0.1369282457;0.7074243063;0.9315696949,1.92961534711997
FIL3,0.0001,21,168245791,0.4968458353;0.4148706704;0.9391350596;1.850851565,0.104585259416635
FIL3,0.0001,22,173756898,0.4433444368;0.3379042928;0.9250333304;1.70628206,0.245931792310639
FIL3,0.0001,23,167048486,0.4282099524;0.4598914857;0.9524632901;1.840564728,0.121043394700283
FIL3,0.0001,24,173226707,0.2898252945;0.372711412;0.9203550608;1.582891767,0.427420350418741
FIL3,0.0001,25,168076384,0.7331167875;0.7974368803;0.9864336263;2.516987294,0.235702445983101
FIL3,0.0001,26,172504720,0.4787230077;0.4826858041;0.6462688272;1.607677639,0.393320368730247
FIL3,0.0001,27,174050278,0.3924604886;0.2929561405;0.9128078786;1.598224508,0.38912507120905
FIL3,0.0001,28,167120138,0.3980387304;0.556690419;0.9509601771;1.905689326,0.094417959389031
FIL3,0.0001,29,173420666,0.4370293687;0.3420554894;0.9242187231;1.703303581,0.249026258430663
FIL3,0.0001,30,166808629,0.7439640377;0.7753384661;0.9865905333;2.505893037,0.218931392542613
FIL3,0.0001,31,172467585,0.7189032764;0.750284659;0.9819941867;2.451182122,0.162874535130923
FIL3,0.0001,32,172184081,0.4431843189;0.3618910546;0.937606354;1.742681728,0.206801871050439
